#"Step"	"Speed (ns/day)"	"Elapsed Time (s)"
50000	0	0.0001671314239501953
100000	793	54.50659441947937
150000	783	110.39423155784607
200000	784	165.22502994537354
250000	791	218.52380180358887
300000	789	273.67920327186584
350000	792	327.24484062194824
400000	792	381.9221661090851
450000	794	435.4258077144623
500000	797	487.5292823314667
550000	801	539.0473082065582
600000	802	592.4089634418488
650000	799	648.9025328159332
700000	800	702.4358875751495
750000	797	758.5044968128204
800000	797	813.17302942276
850000	797	867.5971188545227
900000	798	920.5515656471252
950000	797	975.1540231704712
1000000	797	1030.2426218986511
1050000	796	1084.9460382461548
1100000	797	1138.9288914203644
1150000	796	1193.9644865989685
1200000	796	1247.93123793602
1250000	796	1301.795470237732
1300000	796	1357.1521611213684
1350000	795	1412.7170588970184
1400000	794	1468.303330898285
1450000	794	1523.6668145656586
1500000	794	1577.7996790409088
1550000	794	1633.1794664859772
1600000	795	1685.5613689422607
1650000	795	1739.1804840564728
1700000	795	1792.858077764511
1750000	796	1845.1445364952087
1800000	796	1898.924117565155
1850000	797	1951.968018770218
1900000	796	2007.0734221935272
1950000	797	2059.4898195266724
2000000	797	2114.993417739868
2050000	797	2168.2615282535553
2100000	799	2217.9089062213898
2150000	798	2272.8010919094086
2200000	799	2324.9167540073395
2250000	799	2379.1856241226196
2300000	799	2432.7063043117523
2350000	800	2485.176209926605
2400000	800	2538.9165649414062
2450000	800	2591.1968264579773
2500000	800	2644.954563140869
2550000	800	2698.888162612915
2600000	801	2751.9600324630737
2650000	801	2805.191011428833
2700000	801	2857.8018498420715
2750000	801	2911.3260810375214
2800000	801	2967.247180700302
2850000	801	3020.91872215271
2900000	801	3074.941878795624
2950000	801	3129.9013245105743
3000000	800	3185.585347890854
3050000	800	3241.8681602478027
3100000	799	3296.3703804016113
3150000	799	3352.0796995162964
3200000	799	3406.4063997268677
3250000	799	3459.1667397022247
3300000	800	3510.0683109760284
3350000	800	3561.9869446754456
3400000	801	3615.077184200287
3450000	801	3668.532331228256
3500000	801	3721.5700330734253
3550000	801	3773.3388113975525
3600000	801	3827.7002720832825
3650000	801	3881.1246585845947
3700000	802	3933.4973652362823
3750000	802	3987.197743177414
3800000	802	4039.9760162830353
3850000	802	4093.1799352169037
3900000	802	4146.525916814804
3950000	802	4202.124390602112
4000000	802	4255.344546318054
4050000	802	4309.462646007538
4100000	802	4362.124254226685
4150000	802	4415.188256025314
4200000	803	4467.009733200073
4250000	803	4520.037095308304
4300000	803	4573.3049421310425
4350000	803	4625.28518652916
4400000	803	4678.847213506699
4450000	803	4731.850633621216
4500000	803	4785.556864738464
4550000	803	4840.348124504089
4600000	803	4894.437584400177
4650000	803	4947.605692148209
4700000	803	5002.558188915253
4750000	803	5055.624363422394
4800000	803	5109.660626173019
4850000	803	5163.9271783828735
4900000	803	5218.4825603961945
4950000	803	5273.632564544678
5000000	803	5327.7053990364075
5050000	803	5382.390350818634
